iter	Passed	Remaining
0	450	44570
1	790	38713
2	1241	40138
3	1549	37198
4	1865	35446
5	2156	33791
6	2444	32482
7	2760	31750
8	3051	30854
9	3343	30094
10	3665	29658
11	3961	29052
12	4263	28529
13	4555	27984
14	4854	27509
15	5151	27045
16	5448	26601
17	5762	26251
18	6063	25850
19	6360	25443
20	6661	25059
21	6946	24629
22	7240	24240
23	7523	23825
24	7837	23511
25	8131	23143
26	8427	22786
27	8744	22486
28	9040	22134
29	9333	21778
30	9622	21418
31	9939	21120
32	10235	20780
33	10529	20439
34	10828	20110
35	11124	19777
36	11428	19460
37	11721	19125
38	12019	18799
39	12367	18550
40	12697	18272
41	13082	18065
42	13424	17795
43	13730	17475
44	13998	17109
45	14291	16777
46	14555	16413
47	14814	16048
48	15103	15719
49	15379	15379
50	15669	15055
51	15951	14724
52	16235	14397
53	16494	14051
54	16752	13706
55	17030	13381
56	17280	13036
57	17520	12687
58	17772	12350
59	18006	12004
60	18275	11684
61	18524	11354
62	18776	11027
63	19015	10696
64	19267	10374
65	19511	10051
66	19770	9737
67	20022	9422
68	20264	9104
69	20520	8794
70	20771	8484
71	21017	8173
72	21288	7873
73	21554	7573
74	21803	7267
75	22065	6968
76	22329	6669
77	22575	6367
78	22833	6069
79	23087	5771
80	23332	5473
81	23574	5174
82	23817	4878
83	24062	4583
84	24304	4289
85	24549	3996
86	24785	3703
87	25015	3411
88	25254	3121
89	25495	2832
90	25739	2545
91	25974	2258
92	26216	1973
93	26460	1688
94	26712	1405
95	26966	1123
96	27213	841
97	27449	560
98	27699	279
99	27940	0
