iter	Passed	Remaining
0	523	51812
1	828	40579
2	1149	37167
3	1432	34377
4	1784	33912
5	2064	32336
6	2346	31171
7	2635	30311
8	2914	29466
9	3220	28988
10	3562	28827
11	3864	28342
12	4185	28007
13	4555	27984
14	4867	27580
15	5177	27181
16	5543	27066
17	5858	26690
18	6168	26295
19	6532	26129
20	6854	25786
21	7126	25266
22	7396	24762
23	7667	24279
24	7949	23848
25	8207	23359
26	8490	22956
27	8777	22569
28	9074	22216
29	9386	21902
30	9657	21495
31	9953	21151
32	10258	20827
33	10556	20492
34	10826	20106
35	11155	19831
36	11428	19459
37	11755	19179
38	12041	18834
39	12390	18586
40	12699	18275
41	13007	17963
42	13302	17632
43	13610	17322
44	13894	16982
45	14179	16645
46	14496	16346
47	14825	16060
48	15099	15716
49	15433	15433
50	15719	15102
51	15997	14767
52	16270	14428
53	16533	14084
54	16795	13741
55	17070	13412
56	17331	13074
57	17600	12744
58	17875	12421
59	18158	12105
60	18482	11816
61	18753	11494
62	19013	11166
63	19286	10848
64	19561	10533
65	19822	10211
66	20093	9896
67	20379	9590
68	20702	9301
69	21001	9000
70	21290	8696
71	21602	8401
72	21920	8107
73	22206	7802
74	22475	7491
75	22755	7185
76	23040	6882
77	23328	6579
78	23606	6275
79	23881	5970
80	24151	5665
81	24441	5365
82	24764	5072
83	25094	4779
84	25369	4476
85	25669	4178
86	25957	3878
87	26250	3579
88	26528	3278
89	26828	2980
90	27114	2681
91	27509	2392
92	27821	2094
93	28117	1794
94	28392	1494
95	28691	1195
96	28970	896
97	29236	596
98	29557	298
99	29893	0
